Field Site,Latitude,Longitude ,Field Site Type,Registration,Mean Annual Precipitation,Average Annual Temperature,Geology,Land Cover,Climate,Sub-Climate,Network(s),Soil Order,Study Start Date,Hydrology: Surface water stream order,Hydrology: Surface water - Stream Flow Performance,Hydrology: Groundwater
Abby Road,45.760535,-122.328477,US affiliate,Unregistered,,,,Evergreen Forest,,,NEON,,2018,,,
Abisko Research Station,68.35,18.81666,TBD,Unregistered,310 millimeters / year,1°C,"igneous-mafic extrusive, igneous-mafic intrusive","Deciduous Forest, Open Water",Polar,,SITES,Gelisol,1913,,Perennial,
Adirondack Mountains,43.826849,-74.835734,Independent,Registered,1150 millimeters / year,4°C,igneous-felsic intrusive,Unknown,Temperate,Subhumid,Independent,Spodosol,2005 to 2015,First Order,Intermittent,
AgrHyS,47.943183,-4.15264,International affiliate,Unregistered,1146 millimeters / year,11°C,igneous-felsic intrusive,"Agriculture- Pasture, Agriculture- Crops",Temperate,Humid,"CRITEX, LTER, RBV",Unknown,,,,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
Alica Mulga,-22.465,133.343,International affiliate,Unregistered,308 millimeters / year,23°C,,Herbaceous Wetlands,,,TERN,Unknown,2016,,,
Alum Creek Experimental Forest,34.798333,-93.054722,US affiliate,Registered,1321 millimeters / year,34°C,other sedimentary,Unknown,Temperate,Subhumid,USFS,Unknown,2015,First Order,Perennial,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
AMMA-CATCH,16,-1.5,International affiliate,Registered,600 millimeters / year,25°C,,"Deciduous Forest, Shrubland, Grassland/Herbaceous, Agriculture- Pasture, Agriculture- Crops",Tropical,"Semiarid, Subhumid","OZCAR, RBV",,1989,"First Order, Second Order, Third Order","Intermittent, Ephemeral","Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
Andrews Forest LTER,44.2323,-122.169,US affiliate,Unregistered,2000 millimeters / year,8°C,"other secimentary, other igneous","Developed- Low, Evergreen Forest",Temperate,Hyperhumid,"LTER, LTSE, USFS","Alfisol, Inceptisol, Spodosol",1948,Third Order,Perennial,
Archbold Biological Station ,27.182857,-81.352086,US affiliate,Unregistered,602 millimeters / year,22°C,carbonate,"Shrubland, Herbaceous Wetlands",Tropical,Subhumid,LTER,Entisol,1941,,,Arrangment of Aquifer Components  - Complexly interbedded sequence of aquifers and confining beds
Arctic LTER,68.633333,-149.606667,US affiliate,Unregistered,300 millimeters / year,,unconsolidated materials,"Perennial Ice/Snow, Shrubland",Polar,,LTER,Gelisol,2018,,,
Argonne Experimental Forest ,45.75,-89,US affiliate,Unregistered,813 millimeters / year,5°C,"other igneous, meta-igneous",Mixed Forest,Temperate,Humid,USFS,"Histosol, Spodosol",1947,,,
Argonne National Laboratory SFA,41.718207,-87.977993,US affiliate,Unregistered,,,,,,,DOE,,2018,,,
Asa Research Station,57.166667,14.783333,TBD,Unregistered,688 millimeters / year,6°C,unconsolidated materials,Evergreen Forest,,,SITES,Spodosol,1998,,,
Auradé Experimental Watershed,43.559,1.06434,International affiliate,Unregistered,750 millimeters / year,12°C,"sandstone, carbonate",Agriculture- Crops,Temperate,,"CRITEX, OZCAR, RBV",,1982,Third Order,Perennial,Arrangment of Aquifer Components  - Complexly interbedded sequence of aquifers and confining beds
Baeg-nyong (BN) Cave CZO ,37.272125,128.579453,International affiliate,Registered,1300 millimeters / year,10°C,carbonate,Mixed Forest,Temperate,Subhumid,TBD,"Inceptisol, Unknown",2016,"Third Order, Sixth Order",Perennial,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
Baltimore Ecosystem Study,39.724847,-76.012008,US affiliate,Unregistered,1109 millimeters / year,13°C,"other sedimentary, igneous-mafic intrusive, igneous-ultramafic intrusive","Developed- High, Mixed Forest, Agriculture- Crops",Temperate,Humid,LTER,"Alfisol, Ultisol",1999,Fifth Order,Perennial,Arrangment of Aquifer Components  - Two interconnected aquifers
Barrow Environmental Observatory,71.28241,-156.61936,US affiliate,Unregistered,115 millimeters / year,-12°C,unconsolidated materials,"Barren Land, Herbaceous Wetlands, Open Water",Polar,Semiarid,NEON,Gelisol,1947,First Order,Perennial,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
Bartlett Experimental Forest ,44.04416,-71.16555,US affiliate,Unregistered,1270 millimeters / year,7°C,"igneous-felsic intrusive, other metamorphic",Deciduous Forest,Temperate,Humid,"NEON, USFS",Spodosol,1931,Unknown,,
Baru Experimental Watershed,4.975,117.8167,International affiliate,Registered,2876 millimeters / year,,"unconsolidated materials, shale, sandstone, other sedimentary",Evergreen Forest,Tropical,Ultrahyperhumid,"CZO Affiliate, Independent",Ultisol,1986 to 2015,"First Order, Second Order, Third Order","Perennial, Ephemeral","Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
Bent Creek Experimental Forest,35.488889,-82.633333,US affiliate,Unregistered,1200 millimeters / year,13°C,"other sedimentary, igneous-felsic intrusive",Mixed Forest,Temperate,Humid,USFS,"Inceptisol, Ultisol",1925,,,
Big Falls Experimental Forest,48.166666,-94,US affiliate,Unregistered,570 millimeters / year,,other metamorphic,Evergreen Forest,Temperate,Humid,USFS,Unknown,1961,,,
Black Hills Experimental Forest,44.166666,-103.63333,US affiliate,Unregistered,500 millimeters / year,,"igneous-felsic intrusive, other metamorphic",Evergreen Forest,Temperate,Humid,USFS,Alfisol,1961,,,
Blacks Mountain Experimental Forest,40.666667,-121.166667,US affiliate,Unregistered,457 millimeters / year,,other igneous,Evergreen Forest,Temperate,Humid,USFS,Mollisol,1934,,,
Blandy Experimental Farm,39.057245,-78.073734,US affiliate,Unregistered,,,,Shrubland,,,"Independent, NEON",,2018,,,
Blue Valley Experimental Forest,35.011111,-83.246111,US affiliate,Unregistered,1778 millimeters / year,12°C,igneous-felsic intrusive,Mixed Forest,Temperate,Hyperhumid,USFS,Unknown,1995,,,
Boise Basin Experimental Forest,43.816667,-115.833333,US affiliate,Unregistered,635 millimeters / year,,igneous-felsic intrusive,Evergreen Forest,Mediterranean,Subhumid,USFS,"Entisol, Inceptisol",1933,,,
Boulder Creek CZO,39.993064,-105.418486,NSF funded CZO,Registered,735 millimeters / year,4°C,"igneous-felsic extrusive, igneous-felsic intrusive, igneous-mafic extrusive, other metamorphic","Developed- Low, Barren Land, Evergreen Forest, Grassland/Herbaceous, Agriculture- Pasture",Temperate,Subhumid,CZO,"Alfisol, Inceptisol, Mollisol",2015,First Order,Perennial,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
Butler County Industrial Pine Forest,31.74,-86.67,US affiliate,Unregistered,1600 millimeters / year,19°C,other sedimentary,Unknown,Temperate,Humid,LTSE,,1980,,,
"Cache Creek, WY",43.44026,-110.67099,US affiliate,Unregistered,400 millimeters / year,,"unconsolidated materials, shale, sandstone, metasediments","Evergreen Forest, Grassland/Herbaceous",Temperate,Humid,TBD,Unknown,1965 to 1995,First Order,Perennial,
Caddo-LBJ National Grasslands,33.40123,-97.57,TBD,Unregistered,900 millimeters / year,19°C,"sandstone, carbonate, other sedimentary","Evergreen Forest, Grassland/Herbaceous, Agriculture- Pasture",Temperate,Subhumid,"NEON, USFS",Alfisol,2013,,Perennial,Arrangment of Aquifer Components  - Two interconnected aquifers
Calhoun CZO,34.61709,-81.692539,NSF funded CZO,Registered,1250 millimeters / year,16°C,"unconsolidated materials, igneous-felsic intrusive, meta-igneous","Mixed Forest, Grassland/Herbaceous",Temperate,Humid,"CZO, LTSE","Inceptisol, Ultisol",2015,First Order,Perennial,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
Calperum Mallee SuperSite,-34.041974,140.71225,International affiliate,Unregistered,230 millimeters / year,17°C,other sedimentary,"Grassland/Herbaceous, Agriculture- Pasture",,,TERN,,2011,,,
Caribou-Poker Creeks Research Watershed,64.8585,-147.847,US affiliate,Unregistered,262 millimeters / year,-3°C,unconsolidated materials,"Deciduous Forest, Evergreen Forest, Grassland/Herbaceous",Boreal,Dry,"LTER, NEON, USFS","Alfisol, Inceptisol",1987,,Perennial,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
Cascade Head Experimental Forest,45.066667,-123.966667,US affiliate,Unregistered,2450 millimeters / year,10°C,other igneous,Evergreen Forest,Temperate,Ultrahyperhumid,USFS,Unknown,1934,First Order,Perennial,
Caspar Creek Experimental Watershed,39.35,-123.75,US affiliate,Unregistered,200 millimeters / year,12°C,"shale, sandstone",Evergreen Forest,Mediterranean,Humid,USFS,"Inceptisol, Ultisol",1962,First Order,Perennial,
"Catalina-Jemez CZO, AZ",32.444559,-110.79272,NSF funded CZO,Registered,800 millimeters / year,9°C,"igneous-felsic intrusive, other metamorphic","Barren Land, Evergreen Forest, Grassland/Herbaceous",Temperate,Subhumid,CZO,"Entisol, Mollisol",2015,First Order,Ephemeral,Arrangment of Aquifer Components  - Complexly interbedded sequence of aquifers and confining beds
"Catalina-Jemez CZO, NM",35.755045,-106.366252,NSF funded CZO,Registered,700 millimeters / year,5°C,igneous-mafic extrusive,"Mixed Forest, Grassland/Herbaceous",Temperate,Subhumid,CZO,"Alfisol, Aridisol, Inceptisol, Mollisol",2015,Fifth Order,Perennial,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
