Gender,USCitizen,English,POE,ID,BooksReadSummer,ReadProgHS,PartReadProgHS,OwnBookSummer,PercentReadSummer,WhyNotRead,FamilyRead,SummerSurvey,QuizScore,FirstGen,PercentReadSummerFollowup,PercentReadSemester,Reread,CWSRead,CWSWrite,Think,Challenge,EnjoyBook,EventAdd,CourseList,FollowupSurvey,Book,Year,ReadSummer,ReadFollowup,ReadSemester,AttendEvent,Englsh,FamilyMemberWhoRead,CourseEffect,ConversationsCount,ConverstationsWith,ConversationsFamily,ConversationNumberPeople,ConversationTopic,BookOwn,BookLength,BookDifficulty,KnowSummerRead,WhichOrientation,FamilyMemberRead
Male,Yes,Yes,Business,1069507,0,No,No,No,0,I didn’t see the point of the assignment,No,Yes,0.5,No,0,0,No,The book wasn't assigned,None,3,3,5,3,,Yes,Warriors,2013,No,No,No,Yes,,,,,,,,,,,,,,
Female,Yes,Yes,Education,1019051,4,No,No,No,0,"I don’t like reading, I lost interest/thought the book was boring, I wasn’t interested in the topic",No,Yes,0.25,No,0,90,No,All of the book,Formal Essay for CWS,3,4,2,,,Yes,Warriors,2013,No,No,Yes,No,,,,,,,,,,,,,,
Male,Yes,Yes,Museum Studies,1042443,5,Yes,No,No,0,,No,Yes,0.75,Yes,0,0,No,The book wasn't assigned,None,5,5,5,5,,Yes,Warriors,2013,No,No,No,Yes,,,,,,,,,,,,,,
Male,Yes,Yes,Business,1051918,0,No,No,No,0,"I was too busy to finish	, I don’t like reading, I wasn’t interested in the topic",No,Yes,0.25,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Male,Yes,Yes,Biology,1062102,0,Yes,No,Yes,0,"I was too busy to finish	, I wasn’t interested in the topic",No,Yes,0.5,Yes,0,0,No,The book wasn't assigned,None,3,3,3,3,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Male,No,No,don't know,1085594,0,No,No,No,0,,No,Yes,,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Male,Yes,Yes,philosophy,1054299,2,Yes,Yes,No,0,"I was too busy to finish	, I don’t like reading",No,Yes,0.75,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Female,Yes,Yes,Biology,1051266,10,Yes,Yes,Yes,0,I was too busy to finish,No,Yes,1,No,0,15,No,Some of the chapters in the book,Free write in class,3,3,5,5,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Male,Yes,Yes,bac,1066790,1,Yes,No,No,0,,No,Yes,,No,0,0,No,The book wasn't assigned,None,5,5,5,5,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Female,Yes,Yes,psychology,1085182,2,Yes,Yes,No,,,No,Yes,0.25,No,0,0,No,The book wasn't assigned,None,5,5,5,5,,Yes,Warriors,2013,,No,No,Yes,,,,,,,,,,,,,,
Male,Yes,Yes,Business,1076494,0,Yes,Yes,No,0,"I was too busy to finish	, I wasn’t interested in the topic",No,Yes,0.5,No,0,0,No,The book wasn't assigned,None,3,3,3,3,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Female,Yes,Yes,Art,1053490,5,No,Yes,No,0,"I was too busy to finish	, I wasn’t interested in the topic",No,Yes,0.25,Yes,0,0,No,The book wasn't assigned,None,3,3,3,5,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Male,No,Yes,Politics,1080861,0,Yes,Yes,No,0,I was too busy to finish,No,Yes,0,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Female,Yes,Yes,Undecided,1066834,0,No,No,No,0,,No,Yes,0.75,No,0,0,No,The book wasn't assigned,None,5,5,3,5,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Male,Yes,No,English,1050970,2,Yes,Yes,No,0,I was too busy to finish,No,Yes,0.25,Yes,0,0,No,The book wasn't assigned,None,5,5,5,,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Female,Yes,Yes,Biology,1066813,0,Yes,No,No,0,"I didn’t see the point of the assignment, I wasn’t interested in the topic",No,Yes,0.5,No,0,0,No,The book wasn't assigned,None,5,5,5,5,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Male,Yes,Yes,Biology,1041994,0,,No,No,0,"I don’t like reading, I wasn’t interested in the topic",No,Yes,,No,0,0,No,The book wasn't assigned,None,3,3,3,3,N/A,Yes,Warriors,2013,No,No,No,Yes,,,,,,,,,,,,,,
Female,Yes,Yes,Chemistry,,3,No,No,Yes,0,I was too busy to finish,No,Yes,1,,,0,No,The book wasn't assigned,None,5,5,5,3,,Yes,Warriors,2013,No,,No,Yes,,,,,,,,,,,,,,
Female,Yes,Yes,Chemistry,,3,No,No,Yes,0,I was too busy to finish,No,Yes,1,No,5,5,No,The book wasn't assigned,None,4,4,4,3,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Female,Yes,Yes,Chemistry,,3,No,No,Yes,0,I was too busy to finish,No,Yes,1,Yes,5,5,No,The book wasn't assigned,None,2,3,3,3,,Yes,Warriors,2013,No,No,No,Yes,,,,,,,,,,,,,,
Male,No,No,Compute Science,895360,1,No,No,No,0,,No,Yes,0.25,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Male,Yes,Yes,biology,1065688,0,Yes,Yes,No,0,,No,Yes,0.5,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Female,Yes,Yes,biology,416334,0,Yes,Yes,Yes,0,I wasn’t interested in the topic,No,Yes,0.25,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Female,Yes,Yes,Science,1060294,30,Yes,Yes,No,0,I wasn’t interested in the topic,No,Yes,0.25,Yes,0,5,No,Some of the chapters in the book,"Formal Essay for CWS, Response/Reflection paper",3,5,5,3,,Yes,Warriors,2013,No,No,No,Yes,,,,,,,,,,,,,,
Female,Yes,Yes,Education,1050738,1,Yes,Yes,No,0,I was too busy to finish,No,Yes,0.5,No,0,0,No,The book wasn't assigned,None,,,,,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Male,Yes,Yes,Mathematics,1065292,0,No,No,Yes,0,"I was too busy to finish	, I don’t like reading, I lost interest/thought the book was boring, I wasn’t interested in the topic",No,Yes,0.25,Yes,0,0,No,The book wasn't assigned,None,5,5,5,5,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Male,Yes,Yes,Physics,1055151,4,Yes,No,No,0,,No,Yes,0.5,No,0,10,No,Some of the chapters in the book,Response/Reflection paper,1,3,3,,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Male,Yes,Yes,biology,1034912,0,Yes,Yes,Yes,0,I didn’t see the point of the assignment,No,Yes,0.5,No,0,0,No,The book wasn't assigned,None,3,3,3,3,,Yes,Warriors,2013,No,No,No,Yes,,,,,,,,,,,,,,
Male,Yes,Yes,Biology,1053753,1,No,No,No,0,"I was too busy to finish	, I don’t like reading",No,Yes,0.25,No,0,10,No,Some of the chapters in the book,Response/Reflection paper,2,2,4,,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Female,Yes,Yes,Biology/Chemistry,1044732,10,No,No,No,0,I was too busy to finish,No,Yes,0.5,No,0,100,No,Some of the chapters in the book,Formal Essay for CWS,1,2,3,2,,Yes,Warriors,2013,No,No,Yes,Yes,,,,,,,,,,,,,,
Male,Yes,Yes,Environmental Science,1076686,0,Yes,No,Yes,0,I was too busy to finish,No,Yes,0.25,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Male,Yes,Yes,Environmental Science,1035949,0,No,No,No,0,"I don’t like reading, I lost interest/thought the book was boring",No,Yes,0.25,No,0,0,No,The book wasn't assigned,None,3,3,3,3,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Male,Yes,Yes,environmental science,1051632,0,No,No,No,0,I was too busy to finish,No,Yes,0,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Male,Yes,Yes,Biology,1080302,3,Yes,Yes,No,0,I wasn’t interested in the topic,No,Yes,0.75,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Male,Yes,Yes,BIOLOGY,1055013,1,No,No,No,0,I didn’t see the point of the assignment,No,Yes,0.75,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Female,Yes,Yes,Environmental and Biological Sciences,1045100,2,Yes,Yes,Yes,0,I was too busy to finish,No,Yes,0.75,No,0,0,No,The book wasn't assigned,None,5,5,5,,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Female,Yes,Yes,Psychology,1065281,9,No,No,Yes,0,"I was too busy to finish	, I lost interest/thought the book was boring, I wasn’t interested in the topic",No,Yes,0.75,Yes,20,20,No,The book wasn't assigned,None,4,4,1,1,,Yes,Warriors,2013,No,No,No,Yes,,,,,,,,,,,,,,
Female,Yes,Yes,Anthropology,1051819,8,Yes,Yes,No,0,"I lost interest/thought the book was boring, I wasn’t interested in the topic",No,Yes,1,No,0,0,No,The book wasn't assigned,None,5,5,5,5,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Male,Yes,Yes,education,1043752,0,No,No,No,0,"I was too busy to finish	, I don’t like reading, I didn’t see the point of the assignment, I wasn’t interested in the topic",No,Yes,0,Yes,0,100,No,All of the book,Formal Essay for CWS,3,3,5,5,,Yes,Warriors,2013,No,No,Yes,No,,,,,,,,,,,,,,
Female,Yes,Yes,chemistry,1066737,3,No,No,Yes,0,I was too busy to finish,No,Yes,1,No,0,60,Yes,Some of the chapters in the book,"Formal Essay for CWS, Free write in class",1,2,1,1,Intro to Peace and Conflicts,Yes,Warriors,2013,No,No,No,Yes,,,,,,,,,,,,,,
Female,Yes,Yes,Theatre,1061701,3,Yes,Yes,No,0,I didn’t see the point of the assignment,No,Yes,0.25,No,0,0,No,The book wasn't assigned,None,5,5,,5,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Female,No,No,Studio Art,1076599,0,No,No,No,0,,No,Yes,0.5,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Female,Yes,Yes,Theatre,1066735,6,Yes,Yes,No,0,I wasn’t interested in the topic,No,Yes,0,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Female,Yes,Yes,Communications,1043789,15,No,No,No,0,"I didn’t see the point of the assignment, I wasn’t interested in the topic",No,Yes,0.25,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
