Gender,USCitizen,English,POE,BooksReadSummer,ReadProgHS,PartReadProgHS,OwnBookSummer,PercentReadSummer,WhyNotRead,OtherReasonsNot,FamilyRead,SummerSurvey,QuizScore,FirstGen,PercentReadSummerFollowup,PercentReadSemester,Reread,CWSRead,CWSWrite,Think,Challenge,EnjoyBook,EventAdd,CourseEffect,FollowupSurvey,Book,Year,PercentReadSemesterM,ReadSummer,ReadFollowup,ReadSemester,Read,AttendEvent,ConversationsCount,ConversationsWith,BookLength,BookDifficulty,KnowSummerRead,WhichOrientation
Male,Yes,Yes,Natural Sciences,1,Yes,Yes,Yes,15,Too Busy,,No,Yes,,,,,,,,,,,,,,Handmaid's Tale,2017,,No,,,,,,,3,3,Training.,June
Female,Yes,Yes,Natural Sciences,1,No,No,Yes,75,Too Busy,,No,Yes,0.5,No,75,100,No,The book was not assigned.,None,4,3,2,,No,Yes,Handmaid's Tale,2017,100,No,No,Yes,Yes,No,0,,3,4,Newsletter,June
Male,Yes,Yes,Humanities,5,No,No,Yes,0,"Not Reader, No Point, Boring, Topic Dislike",,No,Yes,0,No,0,0,No,The book was not assigned.,None,3,3,3,,No,Yes,Handmaid's Tale,2017,0,No,No,No,No,No,2,Individual,2,2,Newsletter,August
Male,Yes,Yes,Humanities,5,No,No,Yes,0,"Not Reader, No Point, Boring, Topic Dislike",,No,Yes,0,No,100,100,Yes,All of the book,Formal Essay for CWS,3,3,3,,No,Yes,Handmaid's Tale,2017,100,No,Yes,Yes,Yes,No,3,"Individual, Group",2,2,Newsletter,August
Male,Yes,Yes,Humanities,5,No,No,Yes,0,"Not Reader, No Point, Boring, Topic Dislike",,No,Yes,0,No,1,0,No,The book was not assigned.,None,2,4,3,,No,Yes,Handmaid's Tale,2017,1,No,No,No,No,No,2,Individual,2,2,Newsletter,August
Male,Yes,Yes,Humanities,5,No,No,Yes,0,"Not Reader, No Point, Boring, Topic Dislike",,No,Yes,0,No,1,0,No,The book was not assigned.,None,4,4,4,5,No,Yes,Handmaid's Tale,2017,1,No,No,No,No,Yes,5,"Individual, Group",2,2,Newsletter,August
Male,Yes,Yes,Humanities,5,No,No,Yes,0,"Not Reader, No Point, Boring, Topic Dislike",,No,Yes,0,Yes,85,95,Yes,Some of the chapters in the book.,Formal Essay for CWS,5,5,5,5,No,Yes,Handmaid's Tale,2017,95,No,Yes,Yes,Yes,Yes,,Group,2,2,Newsletter,August
Male,Yes,Yes,Humanities,5,No,No,Yes,0,"Not Reader, No Point, Boring, Topic Dislike",,No,Yes,0,Yes,30,70,No,All of the book,Response/Reflection Paper,2,3,5,,No,Yes,Handmaid's Tale,2017,70,No,No,No,No,No,2,Individual,2,2,Newsletter,August
Male,Yes,Yes,Humanities,5,No,No,Yes,0,"Not Reader, No Point, Boring, Topic Dislike",,No,Yes,0,No,100,0,No,The book was not assigned.,None,4,3,5,,No,Yes,Handmaid's Tale,2017,100,No,Yes,Yes,Yes,No,0,,2,2,Newsletter,August
Male,Yes,Yes,Humanities,5,No,No,Yes,0,"Not Reader, No Point, Boring, Topic Dislike",,No,Yes,0,No,100,100,Yes,All of the book,Formal Essay for CWS,2,3,3,,No,Yes,Handmaid's Tale,2017,100,No,Yes,Yes,Yes,No,,,2,2,Newsletter,August
Female,Yes,Yes,Humanities,2,No,No,Yes,100,,,Yes,Yes,0.75,,,,,,,,,,,,,Handmaid's Tale,2017,,Yes,,,,,,,3,3,Orientation,June
Male,Yes,Yes,Social Sciences,0,Yes,Yes,No,0,Not Reader,,No,Yes,0,,,,,,,,,,,,,Handmaid's Tale,2017,,No,,,,,,,3,4,Orientation,June
Female,Yes,Yes,Exploratory,1,Yes,Yes,Yes,100,,,No,Yes,1,No,0,0,No,The book was not assigned.,None,3,3,3,,No,Yes,Handmaid's Tale,2017,0,Yes,No,No,Yes,No,2,Individual,3,4,Orientation,June
Female,Yes,Yes,Exploratory,1,Yes,Yes,Yes,100,,,No,Yes,1,No,100,100,Yes,All of the book,Formal Essay for CWS,3,3,3,,No,Yes,Handmaid's Tale,2017,100,Yes,Yes,Yes,Yes,No,3,"Individual, Group",3,4,Orientation,June
Female,Yes,Yes,Exploratory,1,Yes,Yes,Yes,100,,,No,Yes,1,No,1,0,No,The book was not assigned.,None,2,4,3,,No,Yes,Handmaid's Tale,2017,1,Yes,No,No,Yes,No,2,Individual,3,4,Orientation,June
Female,Yes,Yes,Exploratory,1,Yes,Yes,Yes,100,,,No,Yes,1,No,1,0,No,The book was not assigned.,None,4,4,4,5,No,Yes,Handmaid's Tale,2017,1,Yes,No,No,Yes,Yes,5,"Individual, Group",3,4,Orientation,June
